n_bet,gain_rate,rank
1,-0.056356,1.0
2,-0.057598,3.0
3,-0.0629416666666666,47.0
4,-0.06160575,37.0
5,-0.0607306,12.0
6,-0.0615655,34.0
7,-0.0572037142857142,2.0
8,-0.063187,48.0
9,-0.0635473333333333,49.0
10,-0.0617127,38.0
11,-0.0627290909090909,45.0
12,-0.0612166666666666,23.0
13,-0.0608940769230769,14.0
14,-0.0601230714285714,7.0
15,-0.0627592,46.0
16,-0.0613541875,29.0
17,-0.0598195294117647,4.0
18,-0.0625225555555555,44.0
19,-0.060174,8.0
20,-0.06197375,42.0
21,-0.0601181428571428,6.0
22,-0.060493909090909,11.0
23,-0.060197,9.0
24,-0.06111125,19.0
25,-0.0598289999999999,5.0
26,-0.061592923076923,36.0
27,-0.0611561851851851,20.0
28,-0.0617601785714285,40.0
29,-0.0611058965517241,18.0
30,-0.0615777666666666,35.0
31,-0.0617461612903225,39.0
32,-0.06138940625,31.0
33,-0.0603419696969697,10.0
34,-0.0611785588235294,22.0
35,-0.0608475714285714,13.0
36,-0.062175,43.0
37,-0.061807,41.0
38,-0.0612864736842105,27.0
39,-0.0610757179487179,16.0
40,-0.0610986,17.0
41,-0.0611702926829268,21.0
42,-0.0610715476190476,15.0
43,-0.061269976744186,25.0
44,-0.0613402045454545,28.0
45,-0.0615172,33.0
46,-0.0614865,32.0
47,-0.0612828936170212,26.0
48,-0.0613819791666666,30.0
49,-0.0612244897959183,24.0
