node,children_node
AccountReceivableConcent,
AccountReceivableConcentDev,
AccountReceivableConcentration,
AccountReceivableConcentrationDeviation,
AccountsPayabelTurnoverV2,
AccountsPayableTurnoverDev,
AccountsPayableTurnoverDeviation,
AdjustAbnormal,AssetsAdjustDeviationLyr
AdjustAbnormal,LiabilityAdjustDeviationLyr
AdjustAbnormal,NetAssetsAdjustDeviationLyr
AdjustAbnormal,OperateCashFlowInAdjustDeviationLyr
AdjustAbnormal,OperateProfitAdjustDeviationLyr
AdjustAbnormal,OperateRevenueAdjustDeviationLyr
AdjustAbnormal,SAFRExpenseAdjustDeviationLyr
AdvancedPaymentAbnormal,AdvancedPaymentRatioLr
AdvancedPaymentRatioLr,
AdvancedPaymentRatioLrStar,
AdvancedRece2RevenueGrowthTtm,
AdvancedRece2RevenueIndustryDeviationTtm,
AdvancedRece2RevenueStdTtm,
AdvancedRece2RevenueTtm,
AdvanceReceiptsCarryOverSpeed,
appendix_0625,
AR2CurrentAssetsIndustryDeviation_v2,
AR2CurrentAssetsLr2,
AR2CurrentAssetsLrStar,
AR2RevenueGrowthTtm,
AR2RevenueIndustryDeviationTtm,
AR2RevenueStdTtm,
AR2RevenueTtm,
ARAbnormal,AR2CurrentAssetsLr2
AreaEcoStrength,
AreaFinStrength,
AreaMacroData,
ARGrowthLr,
ARGrowthLrStar,
ARTurnoverIndustryDeviationTtm,
ARTurnoverIndustryDeviationTtmStar,
AssetsAccountAbnormal,AdvancedPaymentAbnormal
AssetsAccountAbnormal,ARAbnormal
AssetsAccountAbnormal,InventoryAbnormal
AssetsAccountAbnormal,InventoryAndRevenueGrowthConflict
AssetsAccountAbnormal,ORMergeAndParentDevationAbnormal
AssetsAccountAbnormal,OtherARAbnroaml
AssetsAccountAbnormal,OtherCurrentAssetsAbnormal
AssetsAccountAbnormal,OverARTurnoverIndustryDeviation
AssetsAccountAbnormal,OverInventoryTurnoverDeviation
AssetsAccountAbnormal,OverLiability2NetAssets
AssetsAccountAbnormal,OverLiabilityGrowth
AssetsAccountAbnormal,OverLiabilitySupport
AssetsAccountAbnormal,ParentEquityAbnormal
AssetsAccountAbnormal,RevenueAndARGrowthDeviationAbnormal
AssetsAccountAbnormal_v2,AdvancedPaymentAbnormal
AssetsAccountAbnormal_v2,InventoryAbnormal
AssetsAccountAbnormal_v2,InventoryAndRevenueGrowthConflict
AssetsAccountAbnormal_v2,ORMergeAndParentDevationAbnormal
AssetsAccountAbnormal_v2,OtherARAbnroaml
AssetsAccountAbnormal_v2,OtherCurrentAssetsAbnormal
AssetsAccountAbnormal_v2,OverAR2CurrentAssetsIndustryDeviation_v2
AssetsAccountAbnormal_v2,RevenueAndARGrowthDeviationAbnormal
AssetsAdjustDeviationLyr,
AssetsTurnoverIndustryDeviationLr,
AssetsTurnoverIndustryDeviationLrStar,
AuditAbnormal,OpinionAbnormal
BadARPreparationRate,
benchmark_track_ability_for_index,
bond_convertible_factor,
bond_coupon_factor,
bond_currency_factor,
bond_default_factor,
bond_leverage_factor,
bond_momentum_factor,
bond_STB_DTS,
bull_bear_return,
bull_bear_return_bond,
campisi_manager_bond_attribution,
CapitalExpense5year,
CapitalizationOfInterestExpenditureRate,
CapitalizationOfInterestExpenditureRateDeviation,
Cash2TotalAssets,
Cash2TotalAssetsDeviation,
CashAccountAbnormal,CashAndLoanAbnormal
CashAccountAbnormal,InterestRatioAbnoraml
CashAccountAbnormal,UnderCashRatio
CashAccountAbnormal,UnderInterestRate
CashAccountAbnormal_v2,CashAndLoanAbnormal
CashAccountAbnormal_v2,InterestRatioAbnoraml
CashAccountAbnormal_v2,UnderCashRatio
CashAccountAbnormal_v2,UnderInterestRate_v2
CashAndLoanAbnormal,CashRatioLr
CashAndLoanAbnormal,InterestBearingRatioLr
CashAndLoanAbnormal,STDebt2CurrentLiabilityLr
CashAndLoanAbnormal,STLoan2CashLr
CashEquivalents2ShortTermInterestBearDebtDeviation,
CashEquivalents2ShortTermInterestBearDebt_v2,
CashflowAccountAbnormal,NetOperateCashflowAbnormal
CashflowAccountAbnormal,OperateCashflowInAbnormal
CashflowAccountAbnormal,OverCashInterestMultipleIndustryDeviation
CashflowAccountAbnormal,OverCashRecoveryRateIndustryDeviation
CashflowAccountAbnormal_v2,NetOperateCashflowAbnormal
CashflowAccountAbnormal_v2,OperateCashflowInAbnormal
CashflowAccountAbnormal_v2,OverCashInterestMultipleIndustryDeviation
CashflowAccountAbnormal_v2,OverCashRecoveryRateIndustryDeviation
cashflow_factor,
CashRatioLr,
CashRatioLrStar,
CashRecoveryRateIndustryDeviationTtm,
Cash_InteretMultiIndustryDeviationLyr,
CFFODistress,
company_cval,
compind_code_lv1_sw,
compind_code_lv2_sw,
compind_code_lv3_sw,
ComputedInterestRatioLyr,
ComputedInterestRatioLyrStar,
ConvertibleRate,
CorporateGovernanceAbnormal,SPandRevenueGrowthConflict
CreditSpread,
CurrencyRate,
CurrentRatio,
CurrentRatioIndustryDeviationLr,
CutNPRatio2IndustryPercentile,
DebtAssetRatioWithoutAdvReceipts_v2,
DefaultRisk,
DeferredExpenseAbnormalSignal,DeferredExpenseGrowthLyr
DeferredExpenseAbnormalSignal,SAFRExpenseRatioGrowthLyr
DeferredExpenseGrowthLyr,
DeInventorySpeed,
dep_fund_antirisk_capacity,
dep_fund_attributution_stability_capacity,
dep_fund_downside_dev,
dep_fund_drawdown_performance,
dep_fund_dressing,
dep_fund_excess_return_sd,
dep_fund_maxdrawd,
dep_fund_pdi,
dep_fund_return_performance,
dep_fund_return_sd,
dep_manager_cumulative_manage_fund_quantity,
dep_manager_industry_attribution,
dep_manager_invest_behaviour,
dep_manager_performance_stability,
dep_manager_return_type_rankings,
dep_style_allocation_ability,
dep_style_shift_ability,
EBIT2InterestBearingDebtDev,
EBIT2InterestBearingDebtDeviation,
EBIT2InterestBearingDebtLyr,
EquotionAbnormal,AdjustAbnormal
EquotionAbnormal,RetainedEarningAbnormal
EquotionAbnormal_v2,AdjustAbnormal
Expense2InterestBearingDebt,
Expense2RevenueGrowthAbnormal,SAFRExpenseRatioGrowthTtm
ExpenseAndRevenueGrowthDeviation,OperateRevenueGrowthTtm
ExpenseAndRevenueGrowthDeviation,SAFRExpenseGrowthTtm
ExpenseCostAbnormal,DeferredExpenseAbnormalSignal
ExpenseCostAbnormal,Expense2RevenueGrowthAbnormal
ExpenseCostAbnormal,ExpenseAndRevenueGrowthDeviation
ExpenseCostAbnormal_v2,DeferredExpenseAbnormalSignal
ExpenseCostAbnormal_v2,Expense2RevenueGrowthAbnormal
ExpenseCostAbnormal_v2,ExpenseAndRevenueGrowthDeviation
expert_scoring_model,AssetsAccountAbnormal
expert_scoring_model,AuditAbnormal
expert_scoring_model,CashAccountAbnormal
expert_scoring_model,CashflowAccountAbnormal
expert_scoring_model,CorporateGovernanceAbnormal
expert_scoring_model,EquotionAbnormal
expert_scoring_model,ExpenseCostAbnormal
expert_scoring_model,GrossMarginAbnormal
expert_scoring_model,GrowthAbnormal
expert_scoring_model,OperationAbnormal
expert_scoring_model,OverGoodWill
expert_scoring_model,OverIntangibleAssets
expert_scoring_model,ProfitAbnormal
expert_scoring_model,RefinanceAbnormal
expert_scoring_model,RevenueAbnormal
expert_scoring_model,SolvencyAbnormal
expert_scoring_model,TaxAbnormal
expert_scoring_model_v2,AssetsAccountAbnormal_v2
expert_scoring_model_v2,AuditAbnormal
expert_scoring_model_v2,CashAccountAbnormal_v2
expert_scoring_model_v2,CashflowAccountAbnormal_v2
expert_scoring_model_v2,EquotionAbnormal_v2
expert_scoring_model_v2,ExpenseCostAbnormal_v2
expert_scoring_model_v2,FinanceAbnormal_v2
expert_scoring_model_v2,GrossMarginAbnormal_v2
expert_scoring_model_v2,GrowthAbnormal_v2
expert_scoring_model_v2,IFEffect_v2
expert_scoring_model_v2,OperationAbnormal_v2
expert_scoring_model_v2,OverGoodWill_v2
expert_scoring_model_v2,OverIntangibleAssets
expert_scoring_model_v2,ParentEquityAbnormal
expert_scoring_model_v2,ProfitAbnormal_v2
expert_scoring_model_v2,QuarterRevenueAbnormal
expert_scoring_model_v2,RevenueAbnormal_v2
expert_scoring_model_v2,SolvencyAbnormal_v2
expert_scoring_model_v2,TaxAbnormal_v2
expert_scoring_model_v2,vote_AdvancedPaymentAbnormal_v2
expert_scoring_model_v2,vote_AuditAbnormal_v2
expert_scoring_model_v2,vote_Expense2RevenueGrowthAbnormal_v2
expert_scoring_model_v2,vote_InventoryAbnormal_v2
expert_scoring_model_v2,vote_NegeRevenueGrowth_v2
expert_scoring_model_v2,vote_OtherARAbnroaml_v2
expert_scoring_model_v2,vote_OverLiabilitySupport_v2
expert_scoring_model_v2,vote_UnderCashRatio_v2
expert_scoring_model_v2,vote_UnderEBIT2InterestBearingDebt_v2
Finance2InvestmentAmount3Year_v2,
FinanceAbnormal_v2,FinanceAndInvestmentAmountConflict_v2
FinanceAbnormal_v2,OverFinancingUnderDebtRatioIsHigh_v2
FinanceAbnormal_v2,OverFinancingUnderLowROE_v2
FinanceAbnormal_v2,OverFinancingUnderRepaymentPressure_v2
