prompt,completion
恒生电子股份有限公司的股东有哪些?,中国证券金融股份有限公司、香港中央结算有限公司、杭州恒生电子集团有限公司、中央汇金资产管理有限责任公司、全国社保基金111组合、全国社保基金一一二组合、周林根、陈鸿、彭政纲、蒋建圣
恒生电子股份有限公司的公司地址？,浙江省杭州市滨江区江南大道3588号恒生大厦
恒生电子股份有限公司的证券代码是？,600570
恒生电子股份有限公司的法人代表？,彭政纲
恒生电子股份有限公司的中文简称？,恒生电子
浙江创为智能装备股份有限公司的股东有哪些?,陈逸、陈桂云、郑君静
浙江创为智能装备股份有限公司的公司地址？,浙江省湖州市长兴县小浦镇书苑路4号
浙江创为智能装备股份有限公司的证券代码是？,838662
浙江创为智能装备股份有限公司的法人代表？,陈桂云
浙江创为智能装备股份有限公司的中文简称？,创为智能
浙江安道设计股份有限公司的股东有哪些?,杭州安澜投资管理合伙企业(有限合伙)、杭州啊哈投资有限公司、赵涤烽、曹宇英
浙江安道设计股份有限公司的公司地址？,杭州市拱墅区湖墅南路271号中环大厦1507室
浙江安道设计股份有限公司的证券代码是？,832581
浙江安道设计股份有限公司的法人代表？,曹宇英
浙江安道设计股份有限公司的中文简称？,安道设计
开封盛达电机科技股份有限公司的股东有哪些?,赵保良、李慧婷、朱瑞贞、刘胜利、张保海
开封盛达电机科技股份有限公司的公司地址？,开封市第九大街与陇海五路交叉口西南角
开封盛达电机科技股份有限公司的证券代码是？,834889
开封盛达电机科技股份有限公司的法人代表？,朱瑞贞
开封盛达电机科技股份有限公司的中文简称？,盛达电机
肯特智能技术(深圳)股份有限公司的股东有哪些?,珠海横琴墨龙股权投资合伙企业(有限合伙)、肯特智联(深圳)投资管理企业(有限合伙)、杨福群、尹金鸣、陈胜森
肯特智能技术(深圳)股份有限公司的公司地址？,深圳市龙岗区南湾街道布澜路31号李朗软件园A3栋10层A3-1001
肯特智能技术(深圳)股份有限公司的证券代码是？,871994
肯特智能技术(深圳)股份有限公司的法人代表？,陈胜森
肯特智能技术(深圳)股份有限公司的中文简称？,肯特智能
北京理工中兴科技股份有限公司的股东有哪些?,北京理工世纪科技集团有限公司、北京海汇源科技投资有限公司、任缘、王敬达、许浒、任舟顺、王富忠、孟令翠、陈二林、鲁胜利
北京理工中兴科技股份有限公司的公司地址？,北京市海淀区中关村南大街7号小白楼3层
北京理工中兴科技股份有限公司的证券代码是？,400006
北京理工中兴科技股份有限公司的法人代表？,田行俊
北京理工中兴科技股份有限公司的中文简称？,京中兴5
扬州市鑫源电气股份有限公司的股东有哪些?,李亮、李如林、张炳生、张正民
扬州市鑫源电气股份有限公司的公司地址？,江苏省扬州市江都区武坚镇工业园区
扬州市鑫源电气股份有限公司的证券代码是？,S02950
扬州市鑫源电气股份有限公司的法人代表？,张炳生
扬州市鑫源电气股份有限公司的中文简称？,鑫源电气
洛阳尚柳生态环境科技股份有限公司的股东有哪些?,孙翠芳、孙先芳、张超、范晓鸽、张宜芳
洛阳尚柳生态环境科技股份有限公司的公司地址？,洛阳高新技术产业开发区西宏矗时代行宫2007室
洛阳尚柳生态环境科技股份有限公司的证券代码是？,832164
洛阳尚柳生态环境科技股份有限公司的法人代表？,孙先芳
洛阳尚柳生态环境科技股份有限公司的中文简称？,尚柳生态
河南红枫生物高科股份有限公司的股东有哪些?,深圳市汇丰大通壹号基金合伙企业(有限合伙)、张丹、张茂、邢晓华、王道贵
河南红枫生物高科股份有限公司的公司地址？,郑州市金水区杨金路中段牛顿国际A座13层
河南红枫生物高科股份有限公司的证券代码是？,832458
河南红枫生物高科股份有限公司的法人代表？,张丹
河南红枫生物高科股份有限公司的中文简称？,红枫高科
中御建设发展(北京)股份有限公司的股东有哪些?,北京中御联合信息咨询中心(有限合伙)、中御创新(北京)科技有限公司、北京中御文化发展中心(有限合伙)、许小平、盛广生
中御建设发展(北京)股份有限公司的公司地址？,北京市朝阳区广渠路南侧44号[5-2]4号楼10层1003室
中御建设发展(北京)股份有限公司的证券代码是？,871186
中御建设发展(北京)股份有限公司的法人代表？,许中
中御建设发展(北京)股份有限公司的中文简称？,中御建设
杭州金通科技集团股份有限公司的股东有哪些?,桐乡浙商乌镇壹号互联网产业投资合伙企业(有限合伙)、杭州市公共交通集团有限公司、罗泽斌
杭州金通科技集团股份有限公司的公司地址？,杭州市滨江区江晖南路7号江晖大厦15楼
杭州金通科技集团股份有限公司的证券代码是？,834069
杭州金通科技集团股份有限公司的法人代表？,罗建宇
杭州金通科技集团股份有限公司的中文简称？,金通科技
山东常青树胶业股份有限公司的股东有哪些?,珠海市艾威古德投资有限公司、郑秀明、石建荣、吴志勤、孔庆华
山东常青树胶业股份有限公司的公司地址？,山东省东营市河口区海宁路777号
山东常青树胶业股份有限公司的证券代码是？,834826
山东常青树胶业股份有限公司的法人代表？,郑秀明
山东常青树胶业股份有限公司的中文简称？,常 青 树
江苏赛尔密封科技股份有限公司的股东有哪些?,
江苏赛尔密封科技股份有限公司的公司地址？,江苏省宿迁市泗阳县经济开发区桂林路9号
江苏赛尔密封科技股份有限公司的证券代码是？,S02952
江苏赛尔密封科技股份有限公司的法人代表？,叶声波
江苏赛尔密封科技股份有限公司的中文简称？,赛尔密封
东莞市百大新能源股份有限公司的股东有哪些?,东莞市合元投资管理有限公司、刘淦昌、刘光华、陈玉平、李熹
东莞市百大新能源股份有限公司的公司地址？,东莞松山湖高新技术产业开发区创新科技园4号楼1楼101.102.108.109室
东莞市百大新能源股份有限公司的证券代码是？,430454
东莞市百大新能源股份有限公司的法人代表？,刘淦昌
东莞市百大新能源股份有限公司的中文简称？,百大能源
北京瑞朗创新净化技术股份有限公司的股东有哪些?,北京双瑞投资管理中心(有限合伙)、蔡训祥、马龙梅、马龙江
北京瑞朗创新净化技术股份有限公司的公司地址？,北京市海淀区上地西路28号2号楼5层3508
北京瑞朗创新净化技术股份有限公司的证券代码是？,833015
北京瑞朗创新净化技术股份有限公司的法人代表？,蔡训祥
北京瑞朗创新净化技术股份有限公司的中文简称？,瑞朗净化
常州霍克展示系统股份有限公司的股东有哪些?,常州瑞鼎投资管理合伙企业(有限合伙)、杨炎来、邝乃华
常州霍克展示系统股份有限公司的公司地址？,江苏省常州市钟楼区龙江路6-1号万泰商务广场27楼
常州霍克展示系统股份有限公司的证券代码是？,872736
常州霍克展示系统股份有限公司的法人代表？,孙晓球
常州霍克展示系统股份有限公司的中文简称？,霍克展示
安徽金瑞大药房连锁股份有限公司的股东有哪些?,马鞍山市瑞宝企业管理中心(有限合伙)、王秀琴、易望波
